"Mod01","Mod02","Mod03","Mod04","Mod05","Mod06","c","Mods"
"Achnanthidium.minutissimum",0,0,0,0,0,1,0.56,"Mod06"
"Actinastrum.hantzschii",0,0,0,0,0,1,0.444444444444444,"Mod06"
"Actinastrum.sp",0,0,1,0,0,0,0,"Mod03"
"Amphora.sp",0,0,1,0,0,0,0,"Mod03"
"Anabaena.sp",1,0,0,0,0,0,0.5,"Mod01"
"Anathece.clathrata",1,0,0,0,0,0,0,"Mod01"
"Ankistrodesmus.stipitatus",0,0,0,0,0,1,0,"Mod06"
"Ankyra.ancora",1,0,0,0,0,0,0.5,"Mod01"
"Ankyra.judayi",0,1,0,0,0,0,0.623818525519849,"Mod02"
"Aphanizomenon.flosaquae",0,1,0,0,0,0,0.658163265306122,"Mod02"
"Aphanizomenon.gracile",0,0,0,0,0,1,0.58,"Mod06"
"Aphanizomenon.yezoense",0,0,0,1,0,0,0.5,"Mod04"
"Aphanocapsa.delicatissima",1,0,0,0,0,0,0.771358024691358,"Mod01"
"Aphanocapsa.elachista",1,0,0,0,0,0,0.755102040816326,"Mod01"
"Aphanocapsa.rivularis",0,1,0,0,0,0,0.701352757544225,"Mod02"
"Aphanocapsa.sp",0,0,0,0,1,0,0.722222222222222,"Mod05"
"Aphanothece.nidulans",0,0,0,0,1,0,0.75,"Mod05"
"Aphanothece.sp",0,0,0,0,0,1,0.520408163265306,"Mod06"
"Asterionella.formosa",0,1,0,0,0,0,0.64,"Mod02"
"Aulacoseira.ambigua",0,0,0,1,0,0,0.5,"Mod04"
"Aulacoseira.granulata",0,1,0,0,0,0,0.677685950413223,"Mod02"
"Aulacoseira.sp",0,1,0,0,0,0,0.444444444444444,"Mod02"
"Binuclearia.lauterbornii",0,0,0,0,0,1,0,"Mod06"
"Bitrichia.chodatii",0,0,1,0,0,0,0.75,"Mod03"
"Bitrichia.ollula",1,0,0,0,0,0,0,"Mod01"
"Botryococcus.sp",0,0,0,1,0,0,0,"Mod04"
"Ceratium.hirundinella",0,1,0,0,0,0,0.735555555555556,"Mod02"
"Chaetoceros.holsaticus",1,0,0,0,0,0,0,"Mod01"
"Chaetoceros.simplex",1,0,0,0,0,0,0,"Mod01"
"Chaetoceros.sp",1,0,0,0,0,0,0.444444444444444,"Mod01"
"Chlamydocapsa.planctonica",0,0,0,0,1,0,0,"Mod05"
"Chlamydomonas.globosa",0,0,0,0,1,0,0.722222222222222,"Mod05"
"Chlamydomonas.sagittula",0,0,0,0,1,0,0.722222222222222,"Mod05"
"Chlamydomonas.snowiae",0,0,0,0,1,0,0,"Mod05"
"Chlamydomonas.sp",0,1,0,0,0,0,0.53125,"Mod02"
"Chlorella.sp",0,1,0,0,0,0,0.459183673469388,"Mod02"
"Chlorolobion.braunii",0,0,0,0,0,1,0.684444444444444,"Mod06"
"Chloromonas.frigida",0,0,0,1,0,0,0.722222222222222,"Mod04"
"Chromulina.sp",0,1,0,0,0,0,0.7136,"Mod02"
